Country,Main_Purpose,Percentage
Brunei,Honeymoon,0
Philippines,Honeymoon,0.3
Vietnam,Honeymoon,0
China,Honeymoon,0.1
Japan,Honeymoon,0
South Korea,Honeymoon,0
Taiwan,Honeymoon,0
India,Honeymoon,1.1
Pakistan,Honeymoon,5.5
Saudi Arabia,Honeymoon,20.3
United Arab Emirates,Honeymoon,3.7
Oman,Honeymoon,15
Kuwait,Honeymoon,4
Iran,Honeymoon,1.4
Canada,Honeymoon,0
United States of America,Honeymoon,0.3
United Kingdom,Honeymoon,1
Ireland,Honeymoon,0
Sweden,Honeymoon,0
Denmark,Honeymoon,0
Finland,Honeymoon,0
Norway,Honeymoon,0
Italy,Honeymoon,0
Spain,Honeymoon,0.3
France,Honeymoon,1.4
Belgium,Honeymoon,1.2
Netherlands,Honeymoon,0
Germany,Honeymoon,0.1
Switzerland,Honeymoon,0
Russia,Honeymoon,0
Australia,Honeymoon,0.3
New Zealand,Honeymoon,0
South Africa,Honeymoon,0
Central Asia,Honeymoon,0.6
Other ASEAN,Honeymoon,0
Other East Asia,Honeymoon,1.4
Other South Asia,Honeymoon,0
Other West Asia,Honeymoon,11.6
Other Americas,Honeymoon,0
Other Europe,Honeymoon,0
Others,Honeymoon,10.2
